UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
173,L00173,L,298.8,309.1,1476,32.8,158,0,0,0,0,0,0
174,L00174,L,298.4,307.6,1495,39.9,186,0,0,0,0,0,0
175,M00175,M,295.9,305.2,1563,43.3,110,0,0,0,0,0,0
176,L00176,L,300.3,310.1,1480,39.7,234,1,1,0,0,0,0
177,M00177,M,299.8,309.0,1330,35.2,86,1,0,1,0,0,0
178,L00178,L,302.3,313.1,1392,38.7,58,0,0,0,0,0,0
179,H00179,H,300.7,309.4,1444,41.5,89,0,0,0,0,0,0
180,L00180,L,302.7,312.8,1600,28.5,32,0,0,0,0,0,0
181,L00181,L,298.6,308.7,1530,32.9,203,1,1,0,0,0,0
182,L00182,L,302.3,310.5,1593,48.9,37,1,0,0,1,0,0
183,H00183,H,298.9,308.5,1289,44.5,46,1,0,1,0,0,0
184,M00184,M,301.6,311.8,1345,49.0,128,1,0,1,0,0,0
185,L00185,L,297.1,307.5,1775,41.6,61,0,0,0,0,0,0
186,M00186,M,300.5,310.3,1623,40.7,222,1,1,0,0,0,0
187,M00187,M,296.0,306.7,1577,37.7,23,0,0,0,0,0,0
188,L00188,L,299.5,309.4,1484,42.1,143,0,0,0,0,0,0
189,L00189,L,300.9,310.9,1526,47.0,116,0,0,0,0,0,0
190,L00190,L,299.0,309.2,1550,43.6,161,0,0,0,0,0,0
191,L00191,L,297.9,308.8,1681,39.0,109,0,0,0,0,0,0
192,M00192,M,301.7,311.0,1540,38.7,250,1,1,0,0,0,0
193,H00193,H,299.8,309.3,1503,42.5,131,0,0,0,0,0,0
194,M00194,M,299.0,308.4,1483,37.5,111,0,0,0,0,0,0
195,L00195,L,300.1,309.8,1629,41.2,250,1,1,0,0,0,0
196,L00196,L,305.3,316.7,1580,35.7,185,0,0,0,0,0,0
197,M00197,M,302.3,312.9,1504,38.2,104,0,0,0,0,0,0
198,M00198,M,302.3,311.2,1426,35.6,34,0,0,0,0,0,0
199,M00199,M,300.9,310.3,1489,37.9,223,1,1,0,0,0,0
200,M00200,M,300.3,310.7,1392,37.7,11,0,0,0,0,0,0
201,M00201,M,295.2,304.3,1496,48.5,156,0,0,0,0,0,0
202,L00202,L,298.6,307.9,1559,34.9,211,1,1,0,0,0,0
203,L00203,L,299.0,310.4,1310,43.8,199,1,0,1,0,0,0
204,M00204,M,296.3,305.6,1477,35.5,14,0,0,0,0,0,0
205,M00205,M,297.7,308.6,1382,41.4,72,0,0,0,0,0,0
206,L00206,L,296.0,307.3,1600,40.5,110,0,0,0,0,0,0
207,L00207,L,299.9,309.2,1614,29.6,90,0,0,0,0,0,0
208,M00208,M,301.6,310.7,1457,33.4,12,0,0,0,0,0,0
209,L00209,L,302.2,311.9,1605,34.2,104,0,0,0,0,0,0
210,L00210,L,300.8,309.7,1609,32.4,56,0,0,0,0,0,0
211,L00211,L,298.1,308.2,1527,40.2,170,0,0,0,0,0,0
212,M00212,M,296.1,305.9,1653,39.7,130,0,0,0,0,0,0
213,M00213,M,296.5,306.8,1427,35.4,80,0,0,0,0,0,0
214,L00214,L,297.5,308.9,1697,38.6,92,0,0,0,0,0,0
215,M00215,M,298.2,309.0,1477,38.1,29,0,0,0,0,0,0
216,L00216,L,299.7,310.2,1466,39.8,56,0,0,0,0,0,0
217,L00217,L,298.0,306.0,1515,36.7,199,0,0,0,0,0,0
218,M00218,M,300.7,311.1,1390,43.5,33,0,0,0,0,0,0
219,M00219,M,299.5,311.3,1578,47.4,192,0,0,0,0,0,0
220,M00220,M,300.0,307.0,1340,45.5,123,0,0,0,0,0,0
221,M00221,M,302.3,313.0,1639,45.6,86,0,0,0,0,0,0
222,L00222,L,297.6,307.5,1456,33.4,182,0,0,0,0,0,0
223,L00223,L,300.8,310.0,1634,35.3,81,0,0,0,0,0,0
224,L00224,L,300.0,310.8,1552,42.3,250,1,1,0,0,0,0
225,L00225,L,299.3,311.0,1577,46.8,18,0,0,0,0,0,0
226,L00226,L,301.8,312.5,1491,43.3,140,0,0,0,0,0,0
227,H00227,H,301.8,311.4,1485,35.0,15,0,0,0,0,0,0
228,L00228,L,298.1,307.2,1563,37.2,197,0,0,0,0,0,0
229,M00229,M,299.6,309.8,1354,43.1,83,1,0,1,0,0,0
230,M00230,M,300.6,311.4,1404,40.1,127,0,0,0,0,0,0
231,M00231,M,299.5,309.1,1446,36.5,20,0,0,0,0,0,0
232,L00232,L,301.2,310.9,1475,38.8,250,1,1,0,0,0,0
233,L00233,L,300.6,313.4,1675,38.2,39,0,0,0,0,0,0
234,L00234,L,303.7,314.7,1551,34.1,74,0,0,0,0,0,0
235,L00235,L,296.9,308.1,1472,45.2,235,1,1,0,0,0,0
236,M00236,M,299.8,308.3,1451,38.3,114,0,0,0,0,0,0
237,L00237,L,298.2,307.5,1500,39.6,156,0,0,0,0,0,0
238,L00238,L,301.2,311.3,1521,45.0,165,0,0,0,0,0,0
239,M00239,M,296.8,305.8,1392,40.5,8,0,0,0,0,0,0
240,L00240,L,300.7,312.3,1469,45.2,31,0,0,0,0,0,0
241,H00241,H,298.7,310.2,1527,34.6,22,0,0,0,0,0,0
242,H00242,H,298.5,308.0,1469,42.5,31,0,0,0,0,0,0
243,H00243,H,297.1,308.9,1435,44.8,52,0,0,0,0,0,0
244,L00244,L,299.1,309.1,1550,35.3,25,0,0,0,0,0,0
245,L00245,L,302.2,314.8,1545,38.7,12,0,0,0,0,0,0
246,H00246,H,299.9,310.1,1429,39.9,13,0,0,0,0,0,0
247,L00247,L,301.3,311.8,1602,40.0,248,1,1,0,0,0,0
248,H00248,H,303.3,314.7,1494,42.4,8,0,0,0,0,0,0
249,H00249,H,300.5,311.8,1293,37.5,23,1,0,1,0,0,0
250,M00250,M,298.9,309.4,1487,39.8,68,1,0,0,0,0,1
251,L00251,L,300.9,310.8,1399,49.0,101,0,0,0,0,0,0
252,L00252,L,298.9,309.4,1614,44.1,187,0,0,0,0,0,0
253,M00253,M,299.0,308.2,1577,43.2,47,0,0,0,0,0,0
254,L00254,L,297.0,307.1,1489,39.1,86,0,0,0,0,0,0
255,L00255,L,301.9,310.7,1538,50.3,101,1,0,0,1,0,0
256,L00256,L,299.2,307.4,1339,46.8,132,0,0,0,0,0,0
257,H00257,H,300.4,310.4,1547,39.7,67,0,0,0,0,0,0
258,M00258,M,297.9,309.2,1571,40.4,32,0,0,0,0,0,0
259,L00259,L,300.9,311.8,1665,36.1,90,0,0,0,0,0,0
260,L00260,L,298.5,308.4,1699,40.0,113,0,0,0,0,0,0
261,M00261,M,299.7,311.5,1378,44.2,144,1,0,1,0,0,0
262,H00262,H,301.8,311.2,1539,43.1,18,0,0,0,0,0,0
263,L00263,L,301.6,309.7,1698,37.1,250,1,1,0,0,0,0
264,L00264,L,300.0,307.8,1401,33.6,82,0,0,0,0,0,0
265,M00265,M,296.5,305.3,1483,41.4,60,0,0,0,0,0,0
266,M00266,M,306.0,316.8,1464,43.9,21,0,0,0,0,0,0
267,M00267,M,303.5,312.9,1586,34.3,68,0,0,0,0,0,0
268,M00268,M,301.4,311.9,1261,41.9,14,1,0,1,0,0,0
269,L00269,L,298.5,310.1,1732,44.4,216,1,1,0,1,0,0
270,L00270,L,299.8,308.7,1539,33.6,250,1,1,0,0,0,0
271,M00271,M,298.9,309.4,1592,37.7,112,0,0,0,0,0,0
272,M00272,M,302.5,313.1,1494,47.5,163,0,0,0,0,0,0
273,M00273,M,300.5,309.7,1549,40.3,156,0,0,0,0,0,0
274,H00274,H,298.4,309.8,1218,40.2,78,1,0,1,0,0,0
275,L00275,L,299.1,308.8,1512,39.8,192,0,0,0,0,0,0
276,L00276,L,302.2,311.9,1635,42.8,127,0,0,0,0,0,0
277,M00277,M,303.2,315.3,1529,38.7,117,0,0,0,0,0,0
278,M00278,M,303.1,313.6,1336,44.6,109,1,0,1,0,0,0
279,M00279,M,301.5,312.4,1506,41.1,181,0,0,0,0,0,0
280,M00280,M,299.5,310.8,1418,42.4,79,0,0,0,0,0,0
281,M00281,M,293.5,302.9,1409,44.2,247,1,1,0,0,0,0
282,L00282,L,300.6,311.8,1398,39.5,115,0,0,0,0,0,0
283,L00283,L,300.0,309.5,1612,34.2,92,0,0,0,0,0,0
284,L00284,L,300.3,309.7,1661,40.8,250,1,1,0,0,0,0
285,L00285,L,300.1,309.8,1762,36.7,121,0,0,0,0,0,0
286,L00286,L,297.3,306.7,1403,38.7,80,0,0,0,0,0,0
287,L00287,L,301.1,311.9,1627,41.4,62,0,0,0,0,0,0
288,L00288,L,301.3,311.5,1633,45.1,116,0,0,0,0,0,0
289,L00289,L,301.4,310.9,1492,39.3,85,0,0,0,0,0,0
290,L00290,L,301.9,312.6,1458,40.5,250,1,1,0,0,0,0
291,L00291,L,301.2,310.9,1441,34.7,198,0,0,0,0,0,0
292,L00292,L,299.2,308.9,1497,38.9,160,0,0,0,0,0,0
293,M00293,M,299.9,309.9,1520,40.9,250,1,1,0,0,0,0
294,L00294,L,300.2,310.6,1686,38.0,250,1,1,0,0,0,0
295,L00295,L,300.2,310.6,1661,36.6,73,0,0,0,0,0,0
296,L00296,L,302.0,311.6,1388,44.7,250,1,1,0,0,0,0
297,M00297,M,301.3,312.1,1421,41.1,132,0,0,0,0,0,0
298,L00298,L,304.2,313.9,1680,51.1,73,1,0,0,1,0,0
299,M00299,M,304.4,313.8,1427,41.8,33,0,0,0,0,0,0
300,L00300,L,300.2,308.7,1544,25.8,145,0,0,0,0,0,0
301,L00301,L,292.3,303.3,1379,35.6,128,1,0,1,0,0,0
302,L00302,L,302.5,312.5,1665,41.0,92,0,0,0,0,0,0
303,L00303,L,298.9,309.1,1359,38.2,26,1,0,1,0,0,0
304,M00304,M,298.4,309.4,1336,38.7,50,1,0,1,0,0,0
305,M00305,M,299.2,308.7,1605,32.8,122,0,0,0,0,0,0
306,H00306,H,299.1,307.7,1642,36.2,126,0,0,0,0,0,0
307,L00307,L,301.2,311.3,1521,40.8,250,1,1,0,0,0,0
308,L00308,L,296.9,307.2,1545,41.5,53,0,0,0,0,0,0
309,M00309,M,297.8,307.6,1591,34.0,26,0,0,0,0,0,0
310,L00310,L,300.7,312.2,1579,43.2,37,0,0,0,0,0,0
311,L00311,L,301.2,308.8,1513,33.9,135,0,0,0,0,0,0
312,L00312,L,301.3,312.4,1501,42.2,250,1,1,0,0,0,0
313,L00313,L,298.4,309.2,1393,42.8,51,0,0,0,0,0,0
314,H00314,H,298.0,308.5,1473,35.6,117,0,0,0,0,0,0
315,M00315,M,299.0,305.7,1491,34.8,42,0,0,0,0,0,0
316,M00316,M,300.5,311.8,1456,42.3,21,0,0,0,0,0,0
317,L00317,L,303.0,311.9,1450,37.7,19,0,0,0,0,0,0
318,L00318,L,295.9,305.4,1460,39.4,94,0,0,0,0,0,0
319,L00319,L,299.6,309.4,1612,42.3,105,0,0,0,0,0,0
320,L00320,L,297.3,307.7,1638,41.0,216,1,1,0,0,0,0
321,L00321,L,296.7,307.3,1517,35.2,250,1,1,0,0,0,0
322,M00322,M,301.9,312.8,1457,40.2,112,0,0,0,0,0,0
323,M00323,M,301.1,311.9,1415,36.2,221,1,1,0,0,0,0
324,L00324,L,300.9,311.2,1644,42.9,162,0,0,0,0,0,0
325,H00325,H,301.8,312.3,1453,48.2,55,0,0,0,0,0,0
326,M00326,M,299.0,307.9,1537,35.4,250,1,1,0,0,0,0
327,L00327,L,299.1,308.4,1586,39.0,27,0,0,0,0,0,0
328,M00328,M,304.4,315.3,1469,44.9,97,0,0,0,0,0,0
329,L00329,L,299.5,310.3,1433,40.8,171,0,0,0,0,0,0
330,L00330,L,301.5,312.2,1450,43.3,99,0,0,0,0,0,0
331,L00331,L,300.0,309.5,1663,38.6,235,1,1,0,0,0,0
332,M00332,M,296.3,307.2,1427,35.4,54,0,0,0,0,0,0
333,L00333,L,295.9,304.7,1509,40.5,28,0,0,0,0,0,0
334,L00334,L,298.8,309.9,1437,46.3,75,0,0,0,0,0,0
335,L00335,L,302.1,311.9,1428,42.3,250,1,1,0,0,0,0
336,L00336,L,301.6,313.3,1473,48.4,121,0,0,0,0,0,0
337,M00337,M,301.8,310.3,1669,29.5,23,0,0,0,0,0,0
338,M00338,M,298.0,309.8,1566,41.2,61,0,0,0,0,0,0
339,L00339,L,303.2,312.9,1497,36.8,250,1,1,0,0,0,0
340,L00340,L,298.1,307.7,1658,34.0,47,0,0,0,0,0,0
341,L00341,L,300.4,310.6,1535,46.3,42,0,0,0,0,0,0
342,L00342,L,300.0,309.3,1685,36.9,100,0,0,0,0,0,0
343,L00343,L,299.7,309.6,1771,35.5,198,0,0,0,0,0,0
344,L00344,L,302.7,311.9,1653,40.2,198,0,0,0,0,0,0
345,L00345,L,298.6,307.9,1559,28.6,65,0,0,0,0,0,0
346,M00346,M,297.3,307.8,1570,46.1,60,0,0,0,0,0,0
347,M00347,M,300.0,309.1,1502,49.5,75,0,0,0,0,0,0
348,L00348,L,299.2,308.4,1366,45.9,8,1,0,1,0,0,0
349,L00349,L,306.8,315.4,1485,42.2,156,0,0,0,0,0,0
350,M00350,M,301.4,310.8,1405,39.9,78,0,0,0,0,0,0
351,L00351,L,299.2,310.5,1482,34.8,243,1,1,0,0,0,0
352,M00352,M,297.9,307.0,1679,44.2,70,0,0,0,0,0,0
353,M00353,M,296.2,305.5,1612,43.5,89,0,0,0,0,0,0
354,L00354,L,297.9,308.1,1594,41.3,190,0,0,0,0,0,0
355,L00355,L,300.2,309.9,1631,40.4,63,0,0,0,0,0,0
356,M00356,M,302.9,315.1,1311,43.4,36,1,0,1,0,0,0
357,L00357,L,302.2,312.1,1623,36.1,180,0,0,0,0,0,0
358,L00358,L,300.5,310.8,1644,51.1,161,1,0,0,1,0,0
359,H00359,H,299.4,310.3,1226,41.3,44,1,0,1,0,0,0
360,L00360,L,300.5,311.5,1627,36.6,147,0,0,0,0,0,0
361,L00361,L,299.0,309.2,1408,46.5,162,0,0,0,0,0,0
362,M00362,M,303.4,313.3,1303,41.8,81,1,0,1,0,0,0
363,L00363,L,299.6,311.6,1683,38.1,144,0,0,0,0,0,0
364,L00364,L,299.8,309.7,1449,47.6,200,0,0,0,0,0,0
365,H00365,H,295.6,305.1,1378,44.6,119,1,0,1,0,0,0
366,L00366,L,299.6,309.0,1649,42.2,127,0,0,0,0,0,0
367,H00367,H,301.7,309.9,1419,33.7,66,0,0,0,0,0,0
368,H00368,H,297.9,308.7,1432,42.7,27,0,0,0,0,0,0
369,L00369,L,298.5,306.2,1530,34.7,250,1,1,0,0,0,0
370,L00370,L,301.6,311.6,1585,36.9,162,0,0,0,0,0,0
371,L00371,L,297.0,306.8,1527,40.6,110,0,0,0,0,0,0
372,L00372,L,302.1,314.4,1561,39.2,89,0,0,0,0,0,0
373,L00373,L,298.9,307.1,1500,43.3,200,0,0,0,0,0,0
374,M00374,M,299.2,308.3,1535,43.5,250,1,1,0,0,0,0
